
source: december 21 1978
candidates:
 ['2978-12-21', '9978-12-21', '1978-12-21']
i:0, best_result:(1.0, '12 apr 1977', '1977-04-12', '1977-04-12')
i:1, best_result:(1.0, 'august 24 1979', '1979-08-24', '1979-08-24')
i:2, best_result:(1.0, '22 sep 1995', '1995-09-22', '1995-09-22')
i:3, best_result:(1.0, '11 oct 1980', '1980-10-11', '1980-10-11')
i:4, best_result:(1.0, '17 jun 1974', '1974-06-17', '1974-06-17')
i:5, best_result:(1.0, '14 nov 2010', '2010-11-14', '2010-11-14')
i:6, best_result:(1.0, 'december 10 1996', '1996-12-10', '1996-12-10')
i:7, best_result:(1.0, '7 july 1991', '1991-07-07', '1991-07-07')
i:8, best_result:(1.0, '27 jun 2003', '2003-06-27', '2003-06-27')
i:9, best_result:(0.8801117367933934, 'friday august 21 2015', '2015-08-21', '2015-08-22')
i:10, best_result:(1.0, '22 apr 2021', '2021-04-22', '2021-04-22')
i:11, best_result:(1.0, 'february 23 1997', '1997-02-23', '1997-02-23')
i:12, best_result:(0.8801117367933934, '21 11 88', '1988-11-21', '0988-11-21')
i:13, best_result:(1.0, 'thursday january 3 2013', '2013-01-03', '2013-01-03')
i:14, best_result:(1.0, '11 sep 2012', '2012-09-11', '2012-09-11')
i:15, best_result:(1.0, 'march 4 1995', '1995-03-04', '1995-03-04')
i:16, best_result:(1.0, 'november 25 1984', '1984-11-25', '1984-11-25')
i:17, best_result:(0.6580370064762462, '10 april 2001', '2001-04-10', '0010-04-10')
i:18, best_result:(1.0, 'thursday june 17 2004', '2004-06-17', '2004-06-17')
i:19, best_result:(1.0, 'wednesday january 26 2005', '2005-01-26', '2005-01-26')
i:20, best_result:(1.0, 'sunday april 13 2008', '2008-04-13', '2008-04-13')
i:21, best_result:(1.0, 'saturday july 6 2019', '2019-07-06', '2019-07-06')
i:22, best_result:(1.0, '22 august 2016', '2016-08-22', '2016-08-22')
i:23, best_result:(1.0, 'tuesday february 13 1979', '1979-02-13', '1979-02-13')
i:24, best_result:(0.5814307369682193, '1 jan 2020', '2021-01-01', '2000-01-01')
i:25, best_result:(1.0, 'tuesday september 15 2020', '2020-09-15', '2020-09-15')
i:26, best_result:(1.0, 'sunday june 8 2003', '2003-06-08', '2003-06-08')
i:27, best_result:(1.0, 'friday july 11 1980', '1980-07-11', '1980-07-11')
i:28, best_result:(1.0, 'october 2 1991', '1991-10-02', '1991-10-02')
i:29, best_result:(1.0, 'friday march 13 1992', '1992-03-13', '1992-03-13')
i:30, best_result:(1.0, '16 mar 2008', '2008-03-16', '2008-03-16')
i:31, best_result:(1.0, 'thursday june 17 2004', '2004-06-17', '2004-06-17')
i:32, best_result:(1.0, 'tuesday february 7 2006', '2006-02-07', '2006-02-07')
i:33, best_result:(0.8801117367933934, '10 jan 1987', '1987-01-10', '1987-01-11')
i:34, best_result:(1.0, 'may 1 1977', '1977-05-01', '1977-05-01')
i:35, best_result:(1.0, 'monday april 27 1998', '1998-04-27', '1998-04-27')
i:36, best_result:(1.0, '03 jun 1972', '1972-06-03', '1972-06-03')
i:37, best_result:(1.0, 'may 26 1985', '1985-05-26', '1985-05-26')
i:38, best_result:(1.0, 'mar 24 1975', '1975-03-24', '1975-03-24')
i:39, best_result:(1.0, 'sunday november 16 2014', '2014-11-16', '2014-11-16')
i:40, best_result:(1.0, 'thursday december 7 2000', '2000-12-07', '2000-12-07')
i:41, best_result:(1.0, 'wednesday july 30 1997', '1997-07-30', '1997-07-30')
i:42, best_result:(1.0, 'february 23 2005', '2005-02-23', '2005-02-23')
i:43, best_result:(1.0, 'wednesday march 18 2020', '2020-03-18', '2020-03-18')
i:44, best_result:(0.7652058832556895, '11.11.97', '1997-11-11', '9977-11-11')
i:45, best_result:(1.0, 'sunday august 21 2011', '2011-08-21', '2011-08-21')
i:46, best_result:(1.0, 'october 10 1988', '1988-10-10', '1988-10-10')
i:47, best_result:(1.0, 'october 16 1972', '1972-10-16', '1972-10-16')
